nohup: ignoring input
***************** properties *****************
"scanproportion"="0"
"workload"="core"
"readallfields"="true"
"insertproportion"="0"
"recordcount"="10000000"
"expected_ops"="2000"
"mysql.port"="4000"
"fieldlength"="600"
"dotransactions"="true"
"timedistribution"="meituanupdate"
"readmodifywriteproportion"="0"
"readproportion"="0"
"real_delay"="3000"
"timeperiod"="30"
"noiseratio"="0.1"
"fieldcount"="2"
"mysql.host"="10.233.63.103"
"requestdistribution"="uniform"
"threadcount"="8"
"table"="table1"
"updateproportion"="1"
"hotspotopnfraction"="0.8"
"maxscanlength"="100"
"writeallfields"="true"
"period_in_time"="true"
"scanlengthdistribution"="uniform"
"hotspotdatafraction"="0.2"
"operationcount"="1000000000000"
**********************************************
UPDATE - Takes(s): 10.0, Count: 80, OPS: 8.0, Avg(us): 8993, Min(us): 6709, Max(us): 13457, 99th(us): 14000, 99.9th(us): 14000, 99.99th(us): 14000
UPDATE - Takes(s): 20.0, Count: 152, OPS: 7.6, Avg(us): 8740, Min(us): 6112, Max(us): 13457, 99th(us): 13000, 99.9th(us): 14000, 99.99th(us): 14000
UPDATE - Takes(s): 30.0, Count: 232, OPS: 7.7, Avg(us): 8699, Min(us): 6112, Max(us): 13457, 99th(us): 13000, 99.9th(us): 14000, 99.99th(us): 14000
UPDATE - Takes(s): 40.0, Count: 304, OPS: 7.6, Avg(us): 8622, Min(us): 6112, Max(us): 13457, 99th(us): 13000, 99.9th(us): 14000, 99.99th(us): 14000
UPDATE - Takes(s): 50.0, Count: 384, OPS: 7.7, Avg(us): 8512, Min(us): 6112, Max(us): 13457, 99th(us): 13000, 99.9th(us): 14000, 99.99th(us): 14000
UPDATE - Takes(s): 60.0, Count: 456, OPS: 7.6, Avg(us): 8451, Min(us): 5959, Max(us): 13994, 99th(us): 13000, 99.9th(us): 14000, 99.99th(us): 14000
UPDATE - Takes(s): 70.0, Count: 4029, OPS: 57.6, Avg(us): 6085, Min(us): 3946, Max(us): 13994, 99th(us): 11000, 99.9th(us): 13000, 99.99th(us): 14000
UPDATE - Takes(s): 80.4, Count: 6580, OPS: 81.8, Avg(us): 8691, Min(us): 3946, Max(us): 1395700, 99th(us): 55000, 99.9th(us): 537000, 99.99th(us): 1396000
UPDATE - Takes(s): 90.0, Count: 10264, OPS: 114.1, Avg(us): 7554, Min(us): 3737, Max(us): 1395700, 99th(us): 21000, 99.9th(us): 526000, 99.99th(us): 1001000
UPDATE - Takes(s): 100.0, Count: 14106, OPS: 141.1, Avg(us): 6994, Min(us): 3726, Max(us): 1395700, 99th(us): 12000, 99.9th(us): 374000, 99.99th(us): 1001000
UPDATE - Takes(s): 110.0, Count: 17937, OPS: 163.1, Avg(us): 6688, Min(us): 3562, Max(us): 1395700, 99th(us): 11000, 99.9th(us): 307000, 99.99th(us): 1001000
UPDATE - Takes(s): 120.0, Count: 21776, OPS: 181.5, Avg(us): 6485, Min(us): 3562, Max(us): 1395700, 99th(us): 10000, 99.9th(us): 306000, 99.99th(us): 1000000
UPDATE - Takes(s): 130.0, Count: 27364, OPS: 210.5, Avg(us): 6227, Min(us): 3562, Max(us): 1395700, 99th(us): 10000, 99.9th(us): 225000, 99.99th(us): 1000000
UPDATE - Takes(s): 140.0, Count: 32980, OPS: 235.6, Avg(us): 6048, Min(us): 3549, Max(us): 1395700, 99th(us): 10000, 99.9th(us): 145000, 99.99th(us): 956000
UPDATE - Takes(s): 150.0, Count: 38594, OPS: 257.3, Avg(us): 5919, Min(us): 3340, Max(us): 1395700, 99th(us): 9000, 99.9th(us): 116000, 99.99th(us): 956000
UPDATE - Takes(s): 160.0, Count: 44228, OPS: 276.4, Avg(us): 5818, Min(us): 3316, Max(us): 1395700, 99th(us): 9000, 99.9th(us): 89000, 99.99th(us): 537000
UPDATE - Takes(s): 170.0, Count: 49849, OPS: 293.2, Avg(us): 5743, Min(us): 3316, Max(us): 1395700, 99th(us): 9000, 99.9th(us): 89000, 99.99th(us): 537000
UPDATE - Takes(s): 180.0, Count: 55488, OPS: 308.3, Avg(us): 5679, Min(us): 3316, Max(us): 1395700, 99th(us): 9000, 99.9th(us): 57000, 99.99th(us): 537000
UPDATE - Takes(s): 190.0, Count: 62302, OPS: 327.9, Avg(us): 5599, Min(us): 3316, Max(us): 1395700, 99th(us): 9000, 99.9th(us): 55000, 99.99th(us): 537000
UPDATE - Takes(s): 200.0, Count: 69137, OPS: 345.7, Avg(us): 5533, Min(us): 3316, Max(us): 1395700, 99th(us): 9000, 99.9th(us): 52000, 99.99th(us): 537000
UPDATE - Takes(s): 210.0, Count: 72867, OPS: 347.0, Avg(us): 5847, Min(us): 3316, Max(us): 1395700, 99th(us): 9000, 99.9th(us): 159000, 99.99th(us): 883000
UPDATE - Takes(s): 220.0, Count: 79666, OPS: 362.1, Avg(us): 5773, Min(us): 3316, Max(us): 1395700, 99th(us): 9000, 99.9th(us): 145000, 99.99th(us): 883000
UPDATE - Takes(s): 230.0, Count: 86499, OPS: 376.1, Avg(us): 5706, Min(us): 3316, Max(us): 1395700, 99th(us): 9000, 99.9th(us): 143000, 99.99th(us): 883000
UPDATE - Takes(s): 240.0, Count: 93304, OPS: 388.8, Avg(us): 5653, Min(us): 3316, Max(us): 1395700, 99th(us): 9000, 99.9th(us): 133000, 99.99th(us): 883000
UPDATE - Takes(s): 250.0, Count: 101389, OPS: 405.6, Avg(us): 5591, Min(us): 3264, Max(us): 1395700, 99th(us): 9000, 99.9th(us): 91000, 99.99th(us): 882000
UPDATE - Takes(s): 260.0, Count: 109556, OPS: 421.4, Avg(us): 5531, Min(us): 3264, Max(us): 1395700, 99th(us): 9000, 99.9th(us): 89000, 99.99th(us): 882000
UPDATE - Takes(s): 270.0, Count: 117691, OPS: 435.9, Avg(us): 5481, Min(us): 3264, Max(us): 1395700, 99th(us): 9000, 99.9th(us): 87000, 99.99th(us): 852000
UPDATE - Takes(s): 280.0, Count: 125861, OPS: 449.5, Avg(us): 5435, Min(us): 3264, Max(us): 1395700, 99th(us): 9000, 99.9th(us): 81000, 99.99th(us): 559000
UPDATE - Takes(s): 290.0, Count: 134050, OPS: 462.3, Avg(us): 5394, Min(us): 3264, Max(us): 1395700, 99th(us): 9000, 99.9th(us): 78000, 99.99th(us): 559000
UPDATE - Takes(s): 300.0, Count: 142148, OPS: 473.8, Avg(us): 5363, Min(us): 3264, Max(us): 1395700, 99th(us): 9000, 99.9th(us): 58000, 99.99th(us): 559000
UPDATE - Takes(s): 310.0, Count: 150521, OPS: 485.6, Avg(us): 5333, Min(us): 3264, Max(us): 1395700, 99th(us): 9000, 99.9th(us): 58000, 99.99th(us): 559000
UPDATE - Takes(s): 320.0, Count: 158927, OPS: 496.7, Avg(us): 5303, Min(us): 3264, Max(us): 1395700, 99th(us): 9000, 99.9th(us): 56000, 99.99th(us): 559000
UPDATE - Takes(s): 330.0, Count: 165432, OPS: 501.3, Avg(us): 5348, Min(us): 3264, Max(us): 1395700, 99th(us): 9000, 99.9th(us): 79000, 99.99th(us): 559000
UPDATE - Takes(s): 340.0, Count: 173430, OPS: 510.1, Avg(us): 5333, Min(us): 3264, Max(us): 1395700, 99th(us): 9000, 99.9th(us): 76000, 99.99th(us): 537000
UPDATE - Takes(s): 350.0, Count: 181887, OPS: 519.7, Avg(us): 5304, Min(us): 3070, Max(us): 1395700, 99th(us): 9000, 99.9th(us): 75000, 99.99th(us): 537000
UPDATE - Takes(s): 360.0, Count: 190314, OPS: 528.7, Avg(us): 5279, Min(us): 3070, Max(us): 1395700, 99th(us): 9000, 99.9th(us): 70000, 99.99th(us): 537000
UPDATE - Takes(s): 370.0, Count: 199191, OPS: 538.4, Avg(us): 5258, Min(us): 3070, Max(us): 1395700, 99th(us): 9000, 99.9th(us): 58000, 99.99th(us): 537000
UPDATE - Takes(s): 380.0, Count: 208131, OPS: 547.7, Avg(us): 5235, Min(us): 3070, Max(us): 1395700, 99th(us): 9000, 99.9th(us): 57000, 99.99th(us): 537000
UPDATE - Takes(s): 390.0, Count: 217074, OPS: 556.6, Avg(us): 5214, Min(us): 3070, Max(us): 1395700, 99th(us): 9000, 99.9th(us): 56000, 99.99th(us): 537000
UPDATE - Takes(s): 400.0, Count: 226013, OPS: 565.0, Avg(us): 5195, Min(us): 3070, Max(us): 1395700, 99th(us): 8000, 99.9th(us): 52000, 99.99th(us): 536000
UPDATE - Takes(s): 410.0, Count: 234994, OPS: 573.2, Avg(us): 5176, Min(us): 3070, Max(us): 1395700, 99th(us): 8000, 99.9th(us): 49000, 99.99th(us): 529000
UPDATE - Takes(s): 420.0, Count: 243948, OPS: 580.8, Avg(us): 5159, Min(us): 3070, Max(us): 1395700, 99th(us): 8000, 99.9th(us): 48000, 99.99th(us): 529000
UPDATE - Takes(s): 430.0, Count: 252535, OPS: 587.3, Avg(us): 5146, Min(us): 3070, Max(us): 1395700, 99th(us): 8000, 99.9th(us): 45000, 99.99th(us): 529000
UPDATE - Takes(s): 440.0, Count: 261226, OPS: 593.7, Avg(us): 5131, Min(us): 3070, Max(us): 1395700, 99th(us): 8000, 99.9th(us): 42000, 99.99th(us): 528000
UPDATE - Takes(s): 450.0, Count: 269861, OPS: 599.7, Avg(us): 5118, Min(us): 3070, Max(us): 1395700, 99th(us): 8000, 99.9th(us): 39000, 99.99th(us): 528000
